uses_https,nonstandard_port,has_suspicious_words,url_shortener,subdomain_count,has_at_symbol,has_phishing_query_params,response_time_ms,has_hyphen,query_params_count,has_double_slash,is_ip_domain,safe_browsing,redirect_count,listed_in_rbl,short_domain,ip_country,indexed_by_google,domain_age_days,domain_days_to_expiration,url,label
0,0,0,0,0,0,0,-1.0,1,0,0,0,0,0,1,0,US,1,524,206,br-icloud.com.br,1
0,0,0,0,0,0,0,-1.0,0,0,0,0,0,0,1,0,US,1,9255,-1,mp3raid.com/music/krizz_kaliko.html,0
0,0,0,0,0,0,0,-1.0,0,0,0,0,0,-1,1,0,US,1,9275,-1,bopsecrets.org/rexroth/cr/1.htm,0
0,0,0,0,1,0,0,494.74,1,4,0,0,0,0,1,0,US,1,-1,-1,http://www.garage-pirenne.be/index.php?option=com_content&view=article&id=70&vsig70_0=15,1
0,0,0,0,0,0,0,607.11,1,3,0,0,0,0,1,0,US,1,198,-1,http://adventure-nicaragua.net/index.php?option=com_mailto&tmpl=component&link=aHR0cDovL2FkdmVudHVyZS1uaWNhcmFndWEubmV0L2luZGV4LnBocD9vcHRpb249Y29tX2NvbnRlbnQmdmlldz1hcnRpY2xlJmlkPTQ3OmFib3V0JmNhdGlkPTM2OmRlbW8tYXJ0aWNsZXMmSXRlbWlkPTU0,1
0,0,0,0,0,0,0,-1.0,0,0,0,0,0,-1,1,0,US,1,3781,236,http://buzzfil.net/m/show-art/ils-etaient-loin-de-s-imaginer-que-le-hibou-allait-faire-ceci-quand-ils-filmaient-2.html,0
0,0,0,0,1,0,0,-1.0,0,0,0,0,0,0,1,1,US,1,10021,-1,espn.go.com/nba/player/_/id/3457/brandon-rush,0
0,0,0,0,0,0,0,-1.0,0,1,0,0,0,1,1,0,US,1,7175,129,yourbittorrent.com/?q=anthony-hamilton-soulife,0
0,0,0,0,1,0,0,-1.0,0,0,0,0,0,-1,1,0,US,1,5233,245,http://www.pashminaonline.com/pure-pashminas,1
0,0,0,0,0,0,0,-1.0,0,0,0,0,0,0,1,0,US,1,11338,348,allmusic.com/album/crazy-from-the-heat-r16990,0
